name,league_id,season,season_start,season_end
Primera Division,30,2017,2017-08-18,2018-05-20
Segunda Division,33,2017,2017-08-18,2018-06-16
Primera Division,64,2016,2016-08-19,2017-05-21
Segunda Division,65,2016,2016-08-19,2017-06-24
Primera Division,87,2018,2018-08-17,2019-05-19
Segunda Division,88,2018,2018-08-17,2019-06-16
Primera Division Women,235,2016,2016-09-03,2017-05-21
Primera Division Women,236,2017,2017-09-02,2018-05-13
Primera Division Women,237,2018,2018-09-08,2019-05-05
Primera Division,730,2015,2015-08-21,2016-05-15
Primera Division,731,2014,2014-08-23,2015-05-23
Primera Division,732,2013,2013-08-17,2014-05-18
Primera Division,733,2012,2012-08-18,2013-06-01
Primera Division,734,2011,2011-08-27,2012-05-13
Primera Division,735,2010,2010-08-28,2011-05-21
Primera Division,775,2019,2019-08-16,2020-05-23
Segunda Division,776,2019,2019-08-17,2020-05-23
Copa del Rey,808,2018,2018-09-05,2019-05-25
Primera Division Women,920,2019,2019-09-07,2020-05-16
Copa del Rey,973,2019,2019-11-13,2019-12-19
